Processes: 410 total, 2 running, 408 sleeping, 1401 threads 
2018/10/10 12:34:45
Load Avg: 0.85, 0.82, 0.82 
CPU usage: 10.34% user, 20.68% sys, 68.96% idle 
SharedLibs: 246M resident, 61M data, 40M linkedit.
MemRegions: 65420 total, 1337M resident, 91M private, 1422M shared.
PhysMem: 8012M used (2210M wired), 179M unused.
VM: 1985G vsize, 1302M framework vsize, 2450971(0) swapins, 2752124(0) swapouts.
Networks: packets: 5612698/5892M in, 3672014/2386M out.
Disks: 2535795/38G read, 2289854/39G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID FAULTS     COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
98994  com.apple.siri-d 0.0  00:00.16 2     1   51+    1408K+ 0B     1080K+ 98994 1     sleeping *0[2+]       0.00000 0.00000    501 5726+      151+    804+       569+       5139+      1967+      1666+      39+     55       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
95538  mdworker_shared  0.0  00:00.25 3     1   48+    2968K+ 0B     2200K+ 95538 1     sleeping *0[1+]       0.00000 0.00000    89  5668+      193+    1918+      781+       6873+      2269+      1199+      23+     13       0.0   0      0      _spotlight         N/A    N/A   N/A   N/A   N/A   N/A  
88707  MTLCompilerServi 0.0  00:02.81 2     2   24+    24M+   0B     24M+   88707 1     sleeping  0[0]        0.00000 0.00000    501 15485+     443+    316+       123+       3799+      589+       1824+      418+    17       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
85010  PerfPowerService 0.0  00:34.60 2     1   111+   7276K+ 320K+  2256K+ 85010 1     sleeping *0[232+]     0.00000 0.00000    0   99573+     192+    62798+     32014+     401121+    717206+    442947+    7275+   2116     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
75579  AssetCacheLocato 0.0  00:01.14 3     1   57+    3328K+ 0B     2892K+ 75579 1     sleeping *0[1+]       0.00000 0.00000    235 5364+      192+    478+       1666+      30173+     2724+      20406+     26+     8341     0.0   0      0      _assetcache        N/A    N/A   N/A   N/A   N/A   N/A  
74756  com.apple.audio. 0.0  00:00.03 2     2   21+    916K+  0B     880K+  74756 1     sleeping *0[2+]       0.00000 0.00000    501 3559+      145+    113+       79+        1291+      285+       368+       0       16       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
74755  com.apple.siri.C 0.0  00:00.14 3     1   41+    3740K+ 0B     3492K+ 74755 1     sleeping *0[1+]       0.00000 0.00000    501 7313+      176+    459+       454+       5307+      1613+      1500+      78+     37       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
74751  com.apple.speech 0.0  00:00.71 2     1   62+    17M+   0B     16M+   74751 1     sleeping *0[1+]       0.00000 0.00000    501 17601+     210+    1855+      829+       28907+     3804+      5876+      661+    42       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
74749  MTLCompilerServi 0.0  00:00.11 2     2   24+    5696K+ 0B     5660K+ 74749 1     sleeping *0[4+]       0.00000 0.00000    501 6214+      442+    148+       85+        1716+      384+       350+       347+    17       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
74748  com.apple.DFRSys 0.0  00:00.26 2     1   56+    1296K+ 0B     1120K+ 74748 1     sleeping *0[4+]       0.00000 0.00000    501 10674+     164+    1256+      1191+      8446+      3797+      4459+      75+     231      0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
